ajjiyaMxirU ajji(N10)+yaMxiru_#_NOM+rU_ru_INCL
ajjiyaMxiro ajji(N10)+yaMxiru_#_NOM+ro_ru_DUB
ajjiyaMxiro ajji(N10)+yaMxiru_#_NOM+ro_ru_INDF
ajjiyaMxiro ajji(N10)+yaMxiru_#_NOM+ro_ru_PRES
ajjiyaMxire ajji(N10)+yaMxiru_#_NOM+re_ru_IMPH
ajjiyaMxire ajji(N10)+yaMxiru_#_NOM+re_ru_DECL
ajjiyaMxire ajji(N10)+yaMxiru_#_NOM+re_ru_RIS
ajjiyaMxirannA ajji(N10)+yaMxiru_#_ACC+rannA_ru_INTR
ajjiyaMxirannU ajji(N10)+yaMxiru_#_ACC+rannU_ru_INCL
ajjiyaMxiranno ajji(N10)+yaMxiru_#_ACC+ranno_ru_DUB
ajjiyaMxiranno ajji(N10)+yaMxiru_#_ACC+ranno_ru_INDF
ajjiyaMxiranno ajji(N10)+yaMxiru_#_ACC+ranno_ru_PRES
ajjiyaMxiranne ajji(N10)+yaMxiru_#_ACC+ranne_ru_IMPH
ajjiyaMxiranne ajji(N10)+yaMxiru_#_ACC+ranne_ru_DECL
ajjiyaMxiranne ajji(N10)+yaMxiru_#_ACC+ranne_ru_RIS
ajjiyaMxiriMxalA ajji(N10)+yaMxiru_#_INS+riMxalA_ru_INTR
ajjiyaMxiriMxalU ajji(N10)+yaMxiru_#_INS+riMxalU_ru_INCL
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_INS+riMxalo_ru_DUB
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_INS+riMxalo_ru_INDF
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_INS+riMxalo_ru_PRES
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_INS+riMxale_ru_IMPH
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_INS+riMxale_ru_DECL
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_INS+riMxale_ru_RIS
ajjiyaMxirigA ajji(N10)+yaMxiru_#_DAT+rigA_ru_INTR
ajjiyaMxirigU ajji(N10)+yaMxiru_#_DAT+rigU_ru_INCL
ajjiyaMxirigo ajji(N10)+yaMxiru_#_DAT+rigo_ru_DUB
ajjiyaMxirigo ajji(N10)+yaMxiru_#_DAT+rigo_ru_INDF
ajjiyaMxirigo ajji(N10)+yaMxiru_#_DAT+rigo_ru_PRES
ajjiyaMxirige ajji(N10)+yaMxiru_#_DAT+rige_ru_IMPH
ajjiyaMxirige ajji(N10)+yaMxiru_#_DAT+rige_ru_DECL
ajjiyaMxirige ajji(N10)+yaMxiru_#_DAT+rige_ru_RIS
ajjiyaMxiriMxalA ajji(N10)+yaMxiru_#_ABL+riMxalA_ru_INTR
ajjiyaMxiriMxalU ajji(N10)+yaMxiru_#_ABL+riMxalU_ru_INCL
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_ABL+riMxalo_ru_DUB
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_ABL+riMxalo_ru_INDF
ajjiyaMxiriMxalo ajji(N10)+yaMxiru_#_ABL+riMxalo_ru_PRES
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_ABL+riMxale_ru_IMPH
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_ABL+riMxale_ru_DECL
ajjiyaMxiriMxale ajji(N10)+yaMxiru_#_ABL+riMxale_ru_RIS
ajjiyaMxirallA ajji(N10)+yaMxiru_#_LOC+rallA_ru_INTR
ajjiyaMxirallU ajji(N10)+yaMxiru_#_LOC+rallU_ru_INCL
ajjiyaMxirallo ajji(N10)+yaMxiru_#_LOC+rallo_ru_DUB
ajjiyaMxirallo ajji(N10)+yaMxiru_#_LOC+rallo_ru_INDF
ajjiyaMxirallo ajji(N10)+yaMxiru_#_LOC+rallo_ru_PRES
ajjiyaMxiralle ajji(N10)+yaMxiru_#_LOC+ralle_ru_IMPH
ajjiyaMxiralle ajji(N10)+yaMxiru_#_LOC+ralle_ru_DECL
ajjiyaMxiralle ajji(N10)+yaMxiru_#_LOC+ralle_ru_RIS
ajjigoskaravA ajji(N10)+goskara_#_BEN+vA_#_INTR
ajjigoskaravU ajji(N10)+goskara_#_BEN+vU_#_INCL
ajjigoskaravo ajji(N10)+goskara_#_BEN+vo_#_DUB
ajjigoskaravo ajji(N10)+goskara_#_BEN+vo_#_INDF
ajjigoskaravo ajji(N10)+goskara_#_BEN+vo_#_PRES
ajjigoskarave ajji(N10)+goskara_#_BEN+ve_#_IMPH
ajjigoskarave ajji(N10)+goskara_#_BEN+ve_#_DECL
ajjigoskarave ajji(N10)+goskara_#_BEN+ve_#_RIS
ajjigoskaravA ajji(N10)+goskara_#_PUR+vA_#_INTR
ajjigoskaravU ajji(N10)+goskara_#_PUR+vU_#_INCL
ajjigoskaravo ajji(N10)+goskara_#_PUR+vo_#_DUB
ajjigoskaravo ajji(N10)+goskara_#_PUR+vo_#_INDF
ajjigoskaravo ajji(N10)+goskara_#_PUR+vo_#_PRES
ajjigoskarave ajji(N10)+goskara_#_PUR+ve_#_IMPH
ajjigoskarave ajji(N10)+goskara_#_PUR+ve_#_DECL
ajjigoskarave ajji(N10)+goskara_#_PUR+ve_#_RIS
ajjigAgiyA ajji(N10)+gAgi_#_BEN+yA_#_INTR
ajjigAgiyU ajji(N10)+gAgi_#_BEN+yU_#_INCL
ajjigAgiyo ajji(N10)+gAgi_#_BEN+yo_#_DUB
ajjigAgiyo ajji(N10)+gAgi_#_BEN+yo_#_INDF
ajjigAgiyo ajji(N10)+gAgi_#_BEN+yo_#_PRES
ajjigAgiye ajji(N10)+gAgi_#_BEN+ye_#_IMPH
ajjigAgiye ajji(N10)+gAgi_#_BEN+ye_#_DECL
ajjigAgiye ajji(N10)+gAgi_#_BEN+ye_#_RIS
ajjigAgiyA ajji(N10)+gAgi_#_PUR+yA_#_INTR
ajjigAgiyU ajji(N10)+gAgi_#_PUR+yU_#_INCL
ajjigAgiyo ajji(N10)+gAgi_#_PUR+yo_#_DUB
ajjigAgiyo ajji(N10)+gAgi_#_PUR+yo_#_INDF
ajjigAgiyo ajji(N10)+gAgi_#_PUR+yo_#_PRES
ajjigAgiye ajji(N10)+gAgi_#_PUR+ye_#_IMPH
ajjigAgiye ajji(N10)+gAgi_#_PUR+ye_#_DECL
ajjigAgiye ajji(N10)+gAgi_#_PUR+ye_#_RIS
ajjigosugavA ajji(N10)+gosuga_#_BEN+vA_#_INTR
ajjigosugavU ajji(N10)+gosuga_#_BEN+vU_#_INCL
ajjigosugavo ajji(N10)+gosuga_#_BEN+vo_#_DUB
ajjigosugavo ajji(N10)+gosuga_#_BEN+vo_#_INDF
ajjigosugavo ajji(N10)+gosuga_#_BEN+vo_#_PRES
ajjigosugave ajji(N10)+gosuga_#_BEN+ve_#_IMPH
ajjigosugave ajji(N10)+gosuga_#_BEN+ve_#_DECL
ajjigosugave ajji(N10)+gosuga_#_BEN+ve_#_RIS
ajjigosugavA ajji(N10)+gosuga_#_PUR+vA_#_INTR
ajjigosugavU ajji(N10)+gosuga_#_PUR+vU_#_INCL
ajjigosugavo ajji(N10)+gosuga_#_PUR+vo_#_DUB
ajjigosugavo ajji(N10)+gosuga_#_PUR+vo_#_INDF
ajjigosugavo ajji(N10)+gosuga_#_PUR+vo_#_PRES
ajjigosugave ajji(N10)+gosuga_#_PUR+ve_#_IMPH
ajjigosugave ajji(N10)+gosuga_#_PUR+ve_#_DECL
ajjigosugave ajji(N10)+gosuga_#_PUR+ve_#_RIS
ajjigiMwalA ajji(N10)+giMwa_#_COMP+lA_#_INTR
ajjigiMwalU ajji(N10)+giMwa_#_COMP+lU_#_INCL
ajjigiMwalo ajji(N10)+giMwa_#_COMP+lo_#_DUB
ajjigiMwalo ajji(N10)+giMwa_#_COMP+lo_#_INDF
ajjigiMwalo ajji(N10)+giMwa_#_COMP+lo_#_PRES
ajjigiMwale ajji(N10)+giMwa_#_COMP+le_#_IMPH
ajjigiMwale ajji(N10)+giMwa_#_COMP+le_#_DECL
ajjigiMwale ajji(N10)+giMwa_#_COMP+le_#_RIS
ajjiyaMweVyA ajji(N10)+yaMweV_#_SIM+yA_#_INTR
ajjiyaMweVyU ajji(N10)+yaMweV_#_SIM+yU_#_INCL
ajjiyaMweVyo ajji(N10)+yaMweV_#_SIM+yo_#_DUB
ajjiyaMweVyo ajji(N10)+yaMweV_#_SIM+yo_#_INDF
ajjiyaMweVyo ajji(N10)+yaMweV_#_SIM+yo_#_PRES
ajjiyaMweVye ajji(N10)+yaMweV_#_SIM+ye_#_IMPH
ajjiyaMweVye ajji(N10)+yaMweV_#_SIM+ye_#_DECL
ajjiyaMweVye ajji(N10)+yaMweV_#_SIM+ye_#_RIS
ajjiyoVdaneVyA ajji(N10)+yoVdaneV_#_SOC+yA_#_INTR
ajjiyoVdaneVyU ajji(N10)+yoVdaneV_#_SOC+yU_#_INCL
ajjiyoVdaneVyo ajji(N10)+yoVdaneV_#_SOC+yo_#_DUB
ajjiyoVdaneVyo ajji(N10)+yoVdaneV_#_SOC+yo_#_INDF
ajjiyoVdaneVyo ajji(N10)+yoVdaneV_#_SOC+yo_#_PRES
ajjiyoVdaneVye ajji(N10)+yoVdaneV_#_SOC+ye_#_IMPH
ajjiyoVdaneVye ajji(N10)+yoVdaneV_#_SOC+ye_#_DECL
ajjiyoVdaneVye ajji(N10)+yoVdaneV_#_SOC+ye_#_RIS
ajjiyoVMxigeVyA ajji(N10)+yoVMxigeV_#_SOC+yA_#_INTR
ajjiyoVMxigeVyU ajji(N10)+yoVMxigeV_#_SOC+yU_#_INCL
ajjiyoVMxigeVyo ajji(N10)+yoVMxigeV_#_SOC+yo_#_DUB
ajjiyoVMxigeVyo ajji(N10)+yoVMxigeV_#_SOC+yo_#_INDF
ajjiyoVMxigeVyo ajji(N10)+yoVMxigeV_#_SOC+yo_#_PRES
ajjiyoVMxigeVye ajji(N10)+yoVMxigeV_#_SOC+ye_#_IMPH
ajjiyoVMxigeVye ajji(N10)+yoVMxigeV_#_SOC+ye_#_DECL
ajjiyoVMxigeVye ajji(N10)+yoVMxigeV_#_SOC+ye_#_RIS
ajjiyaMxirigoskaravA ajji(N10)+yaMxiru_#_BEN+rigoskaravA_ru_INTR
ajjiyaMxirigoskaravU ajji(N10)+yaMxiru_#_BEN+rigoskaravU_ru_INCL
ajjiyaMxirigoskaravo ajji(N10)+yaMxiru_#_BEN+rigoskaravo_ru_DUB
ajjiyaMxirigoskaravo ajji(N10)+yaMxiru_#_BEN+rigoskaravo_ru_INDF
ajjiyaMxirigoskaravo ajji(N10)+yaMxiru_#_BEN+rigoskaravo_ru_PRES
ajjiyaMxirigoskarave ajji(N10)+yaMxiru_#_BEN+rigoskarave_ru_IMPH
ajjiyaMxirigoskarave ajji(N10)+yaMxiru_#_BEN+rigoskarave_ru_DECL
ajjiyaMxirigoskarave ajji(N10)+yaMxiru_#_BEN+rigoskarave_ru_RIS
ajjiyaMxirigoskaravA ajji(N10)+yaMxiru_#_PUR+rigoskaravA_ru_INTR
ajjiyaMxirigoskaravU ajji(N10)+yaMxiru_#_PUR+rigoskaravU_ru_INCL
ajjiyaMxirigoskaravo ajji(N10)+yaMxiru_#_PUR+rigoskaravo_ru_DUB
ajjiyaMxirigoskaravo ajji(N10)+yaMxiru_#_PUR+rigoskaravo_ru_INDF
ajjiyaMxirigoskaravo ajji(N10)+yaMxiru_#_PUR+rigoskaravo_ru_PRES
ajjiyaMxirigoskarave ajji(N10)+yaMxiru_#_PUR+rigoskarave_ru_IMPH
ajjiyaMxirigoskarave ajji(N10)+yaMxiru_#_PUR+rigoskarave_ru_DECL
ajjiyaMxirigoskarave ajji(N10)+yaMxiru_#_PUR+rigoskarave_ru_RIS
ajjiyaMxirigAgiyA ajji(N10)+yaMxiru_#_BEN+rigAgiyA_ru_INTR
ajjiyaMxirigAgiyU ajji(N10)+yaMxiru_#_BEN+rigAgiyU_ru_INCL
ajjiyaMxirigAgiyo ajji(N10)+yaMxiru_#_BEN+rigAgiyo_ru_DUB
ajjiyaMxirigAgiyo ajji(N10)+yaMxiru_#_BEN+rigAgiyo_ru_INDF
ajjiyaMxirigAgiyo ajji(N10)+yaMxiru_#_BEN+rigAgiyo_ru_PRES
ajjiyaMxirigAgiye ajji(N10)+yaMxiru_#_BEN+rigAgiye_ru_IMPH
ajjiyaMxirigAgiye ajji(N10)+yaMxiru_#_BEN+rigAgiye_ru_DECL
ajjiyaMxirigAgiye ajji(N10)+yaMxiru_#_BEN+rigAgiye_ru_RIS
ajjiyaMxirigAgiyA ajji(N10)+yaMxiru_#_PUR+rigAgiyA_ru_INTR
ajjiyaMxirigAgiyU ajji(N10)+yaMxiru_#_PUR+rigAgiyU_ru_INCL
ajjiyaMxirigAgiyo ajji(N10)+yaMxiru_#_PUR+rigAgiyo_ru_DUB
ajjiyaMxirigAgiyo ajji(N10)+yaMxiru_#_PUR+rigAgiyo_ru_INDF
ajjiyaMxirigAgiyo ajji(N10)+yaMxiru_#_PUR+rigAgiyo_ru_PRES
ajjiyaMxirigAgiye ajji(N10)+yaMxiru_#_PUR+rigAgiye_ru_IMPH
ajjiyaMxirigAgiye ajji(N10)+yaMxiru_#_PUR+rigAgiye_ru_DECL
ajjiyaMxirigAgiye ajji(N10)+yaMxiru_#_PUR+rigAgiye_ru_RIS
ajjiyaMxirigosugavA ajji(N10)+yaMxiru_#_BEN+rigosugavA_ru_INTR
ajjiyaMxirigosugavU ajji(N10)+yaMxiru_#_BEN+rigosugavU_ru_INCL
ajjiyaMxirigosugavo ajji(N10)+yaMxiru_#_BEN+rigosugavo_ru_DUB
ajjiyaMxirigosugavo ajji(N10)+yaMxiru_#_BEN+rigosugavo_ru_INDF
ajjiyaMxirigosugavo ajji(N10)+yaMxiru_#_BEN+rigosugavo_ru_PRES
ajjiyaMxirigosugave ajji(N10)+yaMxiru_#_BEN+rigosugave_ru_IMPH
ajjiyaMxirigosugave ajji(N10)+yaMxiru_#_BEN+rigosugave_ru_DECL
ajjiyaMxirigosugave ajji(N10)+yaMxiru_#_BEN+rigosugave_ru_RIS
ajjiyaMxirigosugavA ajji(N10)+yaMxiru_#_PUR+rigosugavA_ru_INTR
ajjiyaMxirigosugavU ajji(N10)+yaMxiru_#_PUR+rigosugavU_ru_INCL
ajjiyaMxirigosugavo ajji(N10)+yaMxiru_#_PUR+rigosugavo_ru_DUB
ajjiyaMxirigosugavo ajji(N10)+yaMxiru_#_PUR+rigosugavo_ru_INDF
ajjiyaMxirigosugavo ajji(N10)+yaMxiru_#_PUR+rigosugavo_ru_PRES
ajjiyaMxirigosugave ajji(N10)+yaMxiru_#_PUR+rigosugave_ru_IMPH
ajjiyaMxirigosugave ajji(N10)+yaMxiru_#_PUR+rigosugave_ru_DECL
ajjiyaMxirigosugave ajji(N10)+yaMxiru_#_PUR+rigosugave_ru_RIS
ajjiyaMxirigiMwalA ajji(N10)+yaMxiru_#_COMP+rigiMwalA_ru_INTR
