akkaMxirannA akka(N9)+akkaMxiru_akka_ACC+rannA_ru_INTR
akkaMxirannU akka(N9)+akkaMxiru_akka_ACC+rannU_ru_INCL
akkaMxiranno akka(N9)+akkaMxiru_akka_ACC+ranno_ru_DUB
akkaMxiranno akka(N9)+akkaMxiru_akka_ACC+ranno_ru_INDF
akkaMxiranno akka(N9)+akkaMxiru_akka_ACC+ranno_ru_PRES
akkaMxiranne akka(N9)+akkaMxiru_akka_ACC+ranne_ru_IMPH
akkaMxiranne akka(N9)+akkaMxiru_akka_ACC+ranne_ru_DECL
akkaMxiranne akka(N9)+akkaMxiru_akka_ACC+ranne_ru_RIS
akkaMxiriMxalA akka(N9)+akkaMxiru_akka_INS+riMxalA_ru_INTR
akkaMxiriMxalU akka(N9)+akkaMxiru_akka_INS+riMxalU_ru_INCL
akkaMxiriMxalo akka(N9)+akkaMxiru_akka_INS+riMxalo_ru_DUB
akkaMxiriMxalo akka(N9)+akkaMxiru_akka_INS+riMxalo_ru_INDF
akkaMxiriMxalo akka(N9)+akkaMxiru_akka_INS+riMxalo_ru_PRES
akkaMxiriMxale akka(N9)+akkaMxiru_akka_INS+riMxale_ru_IMPH
akkaMxiriMxale akka(N9)+akkaMxiru_akka_INS+riMxale_ru_DECL
akkaMxiriMxale akka(N9)+akkaMxiru_akka_INS+riMxale_ru_RIS
akkaMxirigA akka(N9)+akkaMxiru_akka_DAT+rigA_ru_INTR
akkaMxirigU akka(N9)+akkaMxiru_akka_DAT+rigU_ru_INCL
akkaMxirigo akka(N9)+akkaMxiru_akka_DAT+rigo_ru_DUB
akkaMxirigo akka(N9)+akkaMxiru_akka_DAT+rigo_ru_INDF
akkaMxirigo akka(N9)+akkaMxiru_akka_DAT+rigo_ru_PRES
akkaMxirige akka(N9)+akkaMxiru_akka_DAT+rige_ru_IMPH
akkaMxirige akka(N9)+akkaMxiru_akka_DAT+rige_ru_DECL
akkaMxirige akka(N9)+akkaMxiru_akka_DAT+rige_ru_RIS
akkaMxiriMxalA akka(N9)+akkaMxiru_akka_ABL+riMxalA_ru_INTR
akkaMxiriMxalU akka(N9)+akkaMxiru_akka_ABL+riMxalU_ru_INCL
akkaMxiriMxalo akka(N9)+akkaMxiru_akka_ABL+riMxalo_ru_DUB
akkaMxiriMxalo akka(N9)+akkaMxiru_akka_ABL+riMxalo_ru_INDF
akkaMxiriMxalo akka(N9)+akkaMxiru_akka_ABL+riMxalo_ru_PRES
akkaMxiriMxale akka(N9)+akkaMxiru_akka_ABL+riMxale_ru_IMPH
akkaMxiriMxale akka(N9)+akkaMxiru_akka_ABL+riMxale_ru_DECL
akkaMxiriMxale akka(N9)+akkaMxiru_akka_ABL+riMxale_ru_RIS
akkaMxirallA akka(N9)+akkaMxiru_akka_LOC+rallA_ru_INTR
akkaMxirallU akka(N9)+akkaMxiru_akka_LOC+rallU_ru_INCL
akkaMxirallo akka(N9)+akkaMxiru_akka_LOC+rallo_ru_DUB
akkaMxirallo akka(N9)+akkaMxiru_akka_LOC+rallo_ru_INDF
akkaMxirallo akka(N9)+akkaMxiru_akka_LOC+rallo_ru_PRES
akkaMxiralle akka(N9)+akkaMxiru_akka_LOC+ralle_ru_IMPH
akkaMxiralle akka(N9)+akkaMxiru_akka_LOC+ralle_ru_DECL
akkaMxiralle akka(N9)+akkaMxiru_akka_LOC+ralle_ru_RIS
akkanigoskaravA akka(N9)+nigoskara_#_BEN+vA_#_INTR
akkanigoskaravU akka(N9)+nigoskara_#_BEN+vU_#_INCL
akkanigoskaravo akka(N9)+nigoskara_#_BEN+vo_#_DUB
akkanigoskaravo akka(N9)+nigoskara_#_BEN+vo_#_PRES
akkanigoskarave akka(N9)+nigoskara_#_BEN+ve_#_IMPH
akkanigoskarave akka(N9)+nigoskara_#_BEN+ve_#_DECL
akkanigoskarave akka(N9)+nigoskara_#_BEN+ve_#_RIS
akkanigoskaravA akka(N9)+nigoskara_#_PUR+vA_#_INTR
akkanigoskaravU akka(N9)+nigoskara_#_PUR+vU_#_INCL
akkanigoskaravo akka(N9)+nigoskara_#_PUR+vo_#_DUB
akkanigoskaravo akka(N9)+nigoskara_#_PUR+vo_#_PRES
akkanigoskarave akka(N9)+nigoskara_#_PUR+ve_#_IMPH
akkanigoskarave akka(N9)+nigoskara_#_PUR+ve_#_DECL
akkanigoskarave akka(N9)+nigoskara_#_PUR+ve_#_RIS
akkanigAgiyA akka(N9)+nigAgi_#_BEN+yA_#_INTR
akkanigAgiyU akka(N9)+nigAgi_#_BEN+yU_#_INCL
