UrugalYanno Uru(N8)+galYu_#_ACC+lYanno_lYu_DUB
UrugalYanno Uru(N8)+galYu_#_ACC+lYanno_lYu_INDF
UrugalYanno Uru(N8)+galYu_#_ACC+lYanno_lYu_PRES
UrugalYanne Uru(N8)+galYu_#_ACC+lYanne_lYu_IMPH
UrugalYanne Uru(N8)+galYu_#_ACC+lYanne_lYu_DECL
UrugalYanne Uru(N8)+galYu_#_ACC+lYanne_lYu_RIS
UrugalYiMxalA Uru(N8)+galYu_#_INS+lYiMxalA_lYu_INTR
UrugalYiMxalU Uru(N8)+galYu_#_INS+lYiMxalU_lYu_INCL
UrugalYiMxalo Uru(N8)+galYu_#_INS+lYiMxalo_lYu_DUB
UrugalYiMxalo Uru(N8)+galYu_#_INS+lYiMxalo_lYu_INDF
UrugalYiMxalo Uru(N8)+galYu_#_INS+lYiMxalo_lYu_PRES
UrugalYiMxale Uru(N8)+galYu_#_INS+lYiMxale_lYu_IMPH
UrugalYiMxale Uru(N8)+galYu_#_INS+lYiMxale_lYu_DECL
UrugalYiMxale Uru(N8)+galYu_#_INS+lYiMxale_lYu_RIS
UrugalYigA Uru(N8)+galYu_#_DAT+lYigA_lYu_INTR
UrugalYigU Uru(N8)+galYu_#_DAT+lYigU_lYu_INCL
UrugalYigo Uru(N8)+galYu_#_DAT+lYigo_lYu_DUB
UrugalYigo Uru(N8)+galYu_#_DAT+lYigo_lYu_INDF
UrugalYigo Uru(N8)+galYu_#_DAT+lYigo_lYu_PRES
UrugalYige Uru(N8)+galYu_#_DAT+lYige_lYu_IMPH
UrugalYige Uru(N8)+galYu_#_DAT+lYige_lYu_DECL
UrugalYige Uru(N8)+galYu_#_DAT+lYige_lYu_RIS
UrugalYiMxalA Uru(N8)+galYu_#_ABL+lYiMxalA_lYu_INTR
UrugalYiMxalU Uru(N8)+galYu_#_ABL+lYiMxalU_lYu_INCL
UrugalYiMxalo Uru(N8)+galYu_#_ABL+lYiMxalo_lYu_DUB
UrugalYiMxalo Uru(N8)+galYu_#_ABL+lYiMxalo_lYu_INDF
UrugalYiMxalo Uru(N8)+galYu_#_ABL+lYiMxalo_lYu_PRES
UrugalYiMxale Uru(N8)+galYu_#_ABL+lYiMxale_lYu_IMPH
UrugalYiMxale Uru(N8)+galYu_#_ABL+lYiMxale_lYu_DECL
UrugalYiMxale Uru(N8)+galYu_#_ABL+lYiMxale_lYu_RIS
UrugalYallA Uru(N8)+galYu_#_LOC+lYallA_lYu_INTR
UrugalYallU Uru(N8)+galYu_#_LOC+lYallU_lYu_INCL
UrugalYallo Uru(N8)+galYu_#_LOC+lYallo_lYu_DUB
UrugalYallo Uru(N8)+galYu_#_LOC+lYallo_lYu_INDF
UrugalYallo Uru(N8)+galYu_#_LOC+lYallo_lYu_PRES
UrugalYalle Uru(N8)+galYu_#_LOC+lYalle_lYu_IMPH
UrugalYalle Uru(N8)+galYu_#_LOC+lYalle_lYu_DECL
UrugalYalle Uru(N8)+galYu_#_LOC+lYalle_lYu_RIS
UrigoskaravA Uru(N8)+rigoskara_ru_BEN+vA_#_INTR
UrigoskaravU Uru(N8)+rigoskara_ru_BEN+vU_#_INCL
Urigoskaravo Uru(N8)+rigoskara_ru_BEN+vo_#_DUB
Urigoskaravo Uru(N8)+rigoskara_ru_BEN+vo_#_INDF
Urigoskaravo Uru(N8)+rigoskara_ru_BEN+vo_#_PRES
Urigoskarave Uru(N8)+rigoskara_ru_BEN+ve_#_IMPH
Urigoskarave Uru(N8)+rigoskara_ru_BEN+ve_#_DECL
Urigoskarave Uru(N8)+rigoskara_ru_BEN+ve_#_RIS
UrigoskaravA Uru(N8)+rigoskara_ru_PUR+vA_#_INTR
UrigoskaravU Uru(N8)+rigoskara_ru_PUR+vU_#_INCL
Urigoskaravo Uru(N8)+rigoskara_ru_PUR+vo_#_DUB
Urigoskaravo Uru(N8)+rigoskara_ru_PUR+vo_#_INDF
Urigoskaravo Uru(N8)+rigoskara_ru_PUR+vo_#_PRES
Urigoskarave Uru(N8)+rigoskara_ru_PUR+ve_#_IMPH
Urigoskarave Uru(N8)+rigoskara_ru_PUR+ve_#_DECL
Urigoskarave Uru(N8)+rigoskara_ru_PUR+ve_#_RIS
UrigAgiyA Uru(N8)+rigAgi_ru_BEN+yA_#_INTR
UrigAgiyU Uru(N8)+rigAgi_ru_BEN+yU_#_INCL
UrigAgiyo Uru(N8)+rigAgi_ru_BEN+yo_#_DUB
