maragalYanno mara(N1)+galYu_#_ACC+lYanno_lYu_DUB
maragalYanno mara(N1)+galYu_#_ACC+lYanno_lYu_INDF
maragalYanno mara(N1)+galYu_#_ACC+lYanno_lYu_PRES
maragalYanne mara(N1)+galYu_#_ACC+lYanne_lYu_IMPH
maragalYanne mara(N1)+galYu_#_ACC+lYanne_lYu_DECL
maragalYanne mara(N1)+galYu_#_ACC+lYanne_lYu_RIS
maragalYiMxalA mara(N1)+galYu_#_INS+lYiMxalA_lYu_INTR
maragalYiMxalU mara(N1)+galYu_#_INS+lYiMxalU_lYu_INCL
maragalYiMxalo mara(N1)+galYu_#_INS+lYiMxalo_lYu_DUB
maragalYiMxalo mara(N1)+galYu_#_INS+lYiMxalo_lYu_INDF
maragalYiMxalo mara(N1)+galYu_#_INS+lYiMxalo_lYu_PRES
maragalYiMxale mara(N1)+galYu_#_INS+lYiMxale_lYu_IMPH
maragalYiMxale mara(N1)+galYu_#_INS+lYiMxale_lYu_DECL
maragalYiMxale mara(N1)+galYu_#_INS+lYiMxale_lYu_RIS
maragalYigA mara(N1)+galYu_#_DAT+lYigA_lYu_INTR
maragalYigU mara(N1)+galYu_#_DAT+lYigU_lYu_INCL
maragalYigo mara(N1)+galYu_#_DAT+lYigo_lYu_DUB
maragalYigo mara(N1)+galYu_#_DAT+lYigo_lYu_INDF
maragalYigo mara(N1)+galYu_#_DAT+lYigo_lYu_PRES
maragalYige mara(N1)+galYu_#_DAT+lYige_lYu_IMPH
maragalYige mara(N1)+galYu_#_DAT+lYige_lYu_DECL
maragalYige mara(N1)+galYu_#_DAT+lYige_lYu_RIS
maragalYiMxalA mara(N1)+galYu_#_ABL+lYiMxalA_lYu_INTR
maragalYiMxalU mara(N1)+galYu_#_ABL+lYiMxalU_lYu_INCL
maragalYiMxalo mara(N1)+galYu_#_ABL+lYiMxalo_lYu_DUB
maragalYiMxalo mara(N1)+galYu_#_ABL+lYiMxalo_lYu_INDF
maragalYiMxalo mara(N1)+galYu_#_ABL+lYiMxalo_lYu_PRES
maragalYiMxale mara(N1)+galYu_#_ABL+lYiMxale_lYu_IMPH
maragalYiMxale mara(N1)+galYu_#_ABL+lYiMxale_lYu_DECL
maragalYiMxale mara(N1)+galYu_#_ABL+lYiMxale_lYu_RIS
maragalYallA mara(N1)+galYu_#_LOC+lYallA_lYu_INTR
maragalYallU mara(N1)+galYu_#_LOC+lYallU_lYu_INCL
maragalYallo mara(N1)+galYu_#_LOC+lYallo_lYu_DUB
maragalYallo mara(N1)+galYu_#_LOC+lYallo_lYu_INDF
maragalYallo mara(N1)+galYu_#_LOC+lYallo_lYu_PRES
maragalYalle mara(N1)+galYu_#_LOC+lYalle_lYu_IMPH
maragalYalle mara(N1)+galYu_#_LOC+lYalle_lYu_DECL
maragalYalle mara(N1)+galYu_#_LOC+lYalle_lYu_RIS
marakkoskaravA mara(N1)+kkoskara_#_BEN+vA_#_INTR
marakkoskaravU mara(N1)+kkoskara_#_BEN+vU_#_INCL
marakkoskaravo mara(N1)+kkoskara_#_BEN+vo_#_DUB
marakkoskaravo mara(N1)+kkoskara_#_BEN+vo_#_INDF
marakkoskaravo mara(N1)+kkoskara_#_BEN+vo_#_PRES
marakkoskarave mara(N1)+kkoskara_#_BEN+ve_#_IMPH
marakkoskarave mara(N1)+kkoskara_#_BEN+ve_#_DECL
