kAxevu kAyu(V11)+xa_yu_FUTDUB+evu_a_1P
kAxIyeV kAyu(V11)+xa_yu_FUTDUB+IyeV_a_2S
kAxIri kAyu(V11)+xa_yu_FUTDUB+Iri_a_2P
kAxIri kAyu(V11)+xa_yu_FUTDUB+Iri_a_2SH
kAxareV kAyu(V11)+xa_yu_NFV+areV_a_COND
kAxalli kAyu(V11)+xa_yu_NFV+alli_a_COND
kAyuvuxilla kAyu(V11)+yuvuxu_yu_AVY+illa_u_NEG
kAyabahuxu kAyu(V11)+a_u_AVY+bahuxu_#_FUTPOTEN
kAyalebeku kAyu(V11)+alu_u_COMP+e_u_AVY+beku_#_FUT
kAyuvavanu kAyu(V11)+va_#_PRP+avanu_a_3SM
kAyuvavalYu kAyu(V11)+va_#_PRP+avalYu_a_3FM
kAyuvavaru kAyu(V11)+va_#_PRP+avaru_a_3P
kAykAxavanu kAyu(V11)+kAxa_u_PRP+avanu_a_3SM
kAykAxavalYu kAyu(V11)+kAxa_u_PRP+avalYu_a_3FM
kAykAxavaru kAyu(V11)+kAxa_u_PRP+avaru_a_3P
kAxavanu kAyu(V11)+xa_yu_PRP+avanu_a_3SM 
kAxavalYu kAyu(V11)+xa_yu_PRP+avalYu_a_3FM 
kAxavaru kAyu(V11)+xa_yu_PRP+avaru_a_3P 
kAyalArkAxavanu kAyu(V11)+alu_u_AVY+ArkAxa_u_PRP+avanu_a_3SM 
kAyalArkAxavalYu kAyu(V11)+alu_u_AVY+ArkAxa_u_PRP+avalYu_a_3SF
kAyalArkAxavaru kAyu(V11)+alu_u_AVY+ArkAxa_u_PRP+avaru_a_3P 
kAyuwwiruvavanu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
kAyuwwiruvavalYu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
kAyuwwiruvavaru kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
kAyuwwiruvuxu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
kAyuwwiruvuvu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
kAyuwwiruva kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
kAyuwwixxavanu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
kAyuwwixxavalYu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
kAyuwwixxavaru kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
kAyuwwixxu kAyu(V11)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
kAyuwwixxavu kAyu(V11)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
kAyaliruvavanu kAyu(V11)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
kAyaliruvavalYu kAyu(V11)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
kAyaliruvavaru kAyu(V11)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
kAyaliruvanu kAyu(V11)+alu_u_AUX+liruvanu_lu_3SM
kAyaliruvalYu kAyu(V11)+alu_u_AUX+liruvalYu_lu_3SF
kAyaliruvaru kAyu(V11)+alu_u_AUX+liruvaru_lu_3P
kAyaliruvkAxu kAyu(V11)+alu_u_AUX+liruvkAxu_lu_3SN
kAyaliruvavu kAyu(V11)+alu_u_AUX+liruvavu_lu_3PN
kAyaballavanu kAyu(V11)+a_u_AVY+ballavanu_#_3SM
kAyaballavalYu kAyu(V11)+a_u_#_AVY+ballavalYu_#_3SF
kAyaballavaru kAyu(V11)+a_u_AVY+ballavaru_#_3P
kAyaballkAxu kAyu(V11)+a_u_AVY+ballkAxu_#_3SN
kAyaballavu kAyu(V11)+a_u_AVY+ballavu_#_3PN
kAyuwwixxAneV kAyu(V11)+uwwa_u_AUX+wwixxAneV_wwa_3SM
kAyuwwixxAlYeV kAyu(V11)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
kAyuwwixxAreV kAyu(V11)+uwwa_u_AUX+wwixxAreV_wwa_3FM
kAyuwwixeV kAyu(V11)+uwwa_u_AUX+wwixeV_wwa_3SN
kAyuwwiveV kAyu(V11)+uwwa_u_AUX+wwiveV_wwa_3PN
kAyalpattanu kAyu(V11)+alpadu_u_PAST+pattanu_padu_3SM
kAyalpattalYu kAyu(V11)+alpadu_u_PAST+pattalYu_padu_3SF
kAyalpattkAyu kAyu(V11)+alpadu_u_PAST+pattkAyu_padu_3P
kAyalpattaru kAyu(V11)+alpadu_u_PAST+pattaru_padu_3SH
kAyalpattiwu kAyu(V11)+alpadu_u_PAST+pattiwu_padu_3SN
kAyalpattavu kAyu(V11)+alpadu_u_PAST+pattavu_padu_3PN
kAyalpaduwwkAxeV kAyu(V11)+alpadu_u_FUT+duwwkAxeV_du_3SN
kAyalpaduwwaveV kAyu(V11)+alpadu_u_FUT+duwwaveV_du_3PN
kAyalpaduvuxu kAyu(V11)+alpadu_u_FUT+vuxu_#_3SN
kAyalpaduvuvu kAyu(V11)+alpadu_u_FUT+vuvu_#_3PN
kAyalpadanu kAyu(V11)+alpadu_u_FUTNEG+danu_du_3SM
kAyalpadalYu kAyu(V11)+alpadu_u_FUTNEG+dalYu_du_3SF
kAyalpadaru kAyu(V11)+alpadu_u_FUTNEG+daru_du_3P
kAyalpadaru kAyu(V11)+alpadu_u_FUTNEG+daru_du_3SH
kAyalpadkAxu kAyu(V11)+alpadu_u_FUTNEG+dkAxu_du_3SN
kAyalpadavu kAyu(V11)+alpadu_u_FUTNEG+davu_du_3PN
kAyalpattAnu kAyu(V11)+alpadu_u_FUTDUB+ttAnu_du_3SM
kAyalpattAlYu kAyu(V11)+alpadu_u_FUTDUB+ttAlYu_du_3PF
kAyalpattAru kAyu(V11)+alpadu_u_FUTDUB+ttAru_du_3P
kAyalpattAru kAyu(V11)+alpadu_u_FUTDUB+ttAru_du_3SH
kAyalpattIwu kAyu(V11)+alpadu_u_FUTDUB+ttIwu_du_3SN
kAyalpattAvu kAyu(V11)+alpadu_u_FUTDUB+ttAvu_du_3PN
kAyalpadabeku kAyu(V11)+alpada_u_#_AVY+beku_#_FUTIMP
kAyalpadabArkAxu kAyu(V11)+alpada_u_#_AVY+bArkAxu_#_NEGIMPR
kAyalpadakUdkAxu kAyu(V11)+alpada_u_#_AVY+kUdkAxu_#_NEGIMPR
kAyalpadali kAyu(V11)+alpadu_u_FUTOPT+dali_du_3SN
kAyalpadali kAyu(V11)+alpadu_u_FUTOPT+dali_du_3PN
kAyalpadaballa kAyu(V11)+alpada_u_AVY+balla_#_FUTCAP
kAyalpadaballkAxu kAyu(V11)+alpada_u_AVY+ballkAxu_#_FUTCAP
kAyalpadaballavu kAyu(V11)+alpada_u_AVY+ballavu_#_FUTCAP
kAyalpadabahuxu kAyu(V11)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3SN
kAyalpadabahuxu kAyu(V11)+alpada_u_AVY+bahuxu_#_FUTPOTEN_#_3PN
kAyalpadabeku kAyu(V11)+alpada_u_AVY+beku_#_FUTCOMP
kAyalpadalebeku kAyu(V11)+alpada_u_AVY+lebeku_#_FUTCOMP
kAyalpadalArkAxu kAyu(V11)+alpadu_u_FUTNEG+alArkAxu_u_3SN
kAyalpadalAravu kAyu(V11)+alpadu_u_FUTNEG+alAravu_u_3PN
kAyalpadalArkAxa kAyu(V11)+alpadu_u_NEG+alArkAxa_u_3SN
kAyalpattarU kAyu(V11)+alpadu_u_FUTCOND+ttarU_du_NFV
kAyalpaduwwa kAyu(V11)+alpadu_u_PRESCONT+uwwa_u_NFV
kAyalpatta kAyu(V11)+alpadu_u_RP+tta_du_PAST
kAyalpadkAxeV kAyu(V11)+alpadu_u_NEG+kAxeV_u_NFV	
kAyalpadkAxa kAyu(V11)+alpadu_u_NEG+kAxa_u_NFV
kAyalpattu kAyu(V11)+alpadu_u_PAST+pattu_padu_NFV
kAyalpaduva kAyu(V11)+alpadu_u_FUT+va_#_RP
kAyalpadalu kAyu(V11)+alpadu_u_INFN+alu_u_FUTINCH
kAyalpadalikkeV kAyu(V11)+alpadu_u_INFN+alikkeV_u_FUTINCH
kAyalpattareV kAyu(V11)+alpadu_u_FUTCOND+pattareV_padu_NFV
kAyalpattalli kAyu(V11)+alpadu_u_FUTCOND+pattalli_padu_NFV
kAyalpaduwwiruva kAyu(V11)+alpadu_u_AUX+uwwiruva_u_RP
kAyalpaduwwixxa kAyu(V11)+alpadu_u_AUX+uwwixxa_u_RP
kAyalpaduwwaliruva kAyu(V11)+alpadu_u_AUX+uwwaliruva_u_RP
kAyalpaduwwirabekAxa kAyu(V11)+alpadu_u_AUX+uwwiru_u_AVY+abekAxa_u_3SN
kAxanA kAyu(V11)+xanA_yu_INTR
kAxalYA kAyu(V11)+xalYA_yu_INTR
kAxiwA kAyu(V11)+xiwA_yu_INTR
kAxarA kAyu(V11)+xarA_yu_INTR
kAxavA kAyu(V11)+xavA_yu_INTR
kAyuwwAnA kAyu(V11)+uwwAnA_u_INTR
kAyuwwAlYA kAyu(V11)+uwwAlYA_u_INTR
kAyuwwkAxA kAyu(V11)+uwwkAxA_u_INTR
kAyuvanA kAyu(V11)+vanA_#_INTR
kAyuvalYA kAyu(V11)+valYA_#_INTR
kAyuvuxA kAyu(V11)+vuxA_#_INTR
kAyuvarA kAyu(V11)+varA_#_INTR
kAyuvuvA kAyu(V11)+vuvA_#_INTR
kAyuwwiyA kAyu(V11)+uwwiyA_u_INTR
kAyuwwiriyA kAyu(V11)+uwwiriyA_u_INTR
kAyuwwIrA kAyu(V11)+uwwIrA_u_INTR
kAyuviyA kAyu(V11)+viyA_#_INTR
kAyuvirA kAyu(V11)+virA_#_INTR
kAyuvuxA kAyu(V11)+vuxA_#_INTR
kAyalA kAyu(V11)+alA_u_INTR
kAyalikkA kAyu(V11)+alikkA_u_INTR
kAyokA kAyu(V11)+okA_u_INTR
kAyabekA kAyu(V11)+abekA_u_INTR
kAyakUdkAxA kAyu(V11)+akUdkAxA_u_INTR
kAyabArkAxA kAyu(V11)+abArkAxA_u_INTR
kAyanA kAyu(V11)+anA_u_INTR
kAyalYA kAyu(V11)+alYA_u_INTR
kAykAxA kAyu(V11)+kAxA_u_INTR
kAyarA kAyu(V11)+arA_u_INTR
kAyavA kAyu(V11)+avA_u_INTR
kAyalAreVvA kAyu(V11)+alAreVvA_u_INTR
kAyalAreVnA kAyu(V11)+alAreVnA_u_INTR
kAyalAririyA kAyu(V11)+alAririyA_u_INTR
