gudisuvIyeV gudisu(V28)+iya_#_FUTDUB+vIyeV_iya_2S
gudisIri gudisu(V28)+iya_u_FUTDUB+Iri_iya_2P
gudisIri gudisu(V28)+iya_u_FUTDUB+Iri_iya_2SH
gudisixareV gudisu(V28)+ixa_u_NFV+areV_a_COND
gudisixalli gudisu(V28)+ixa_u_NFV+alli_a_COND
gudisuvuxilla gudisu(V28)+vuxu_#_AVY+illa_u_NEG
gudisabahuxu gudisu(V28)+a_u_AVY+bahuxu_#_FUTPOTEN
gudisalebeku gudisu(V28)+alu_u_COMP+e_u_AVY+beku_#_FUT
gudisuvavanu gudisu(V28)+va_#_PRP+avanu_a_3SM
gudisuvavalYu gudisu(V28)+va_#_PRP+avalYu_a_3FM
gudisuvavaru gudisu(V28)+va_#_PRP+avaru_a_3P
gudisaxavanu gudisu(V28)+axa_u_PRP+avanu_a_3SM
gudisaxavalYu gudisu(V28)+axa_u_PRP+avalYu_a_3FM
gudisaxavaru gudisu(V28)+axa_u_PRP+avaru_a_3P
gudisixavanu gudisu(V28)+ixa_u_PRP+avanu_a_3SM 
gudisixavalYu gudisu(V28)+ixa_u_PRP+avalYu_a_3FM 
gudisixavaru gudisu(V28)+ixa_u_PRP+avaru_a_3P 
gudisalAraxavanu gudisu(V28)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
gudisalAraxavalYu gudisu(V28)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
gudisalAraxavaru gudisu(V28)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
gudisuwwiruvavanu gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
gudisuwwiruvavalYu gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
gudisuwwiruvavaru gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
gudisuwwiruvuxu gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
gudisuwwiruvuvu gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
gudisuwwiruva gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
gudisuwwiruvavanu gudisu(V28)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
