iruvavalYu iru(V8)+va_#_PRP+avalYu_a_3FM
iruvavaru iru(V8)+va_#_PRP+avaru_a_3P
iraxavanu iru(V8)+axa_u_PRP+avanu_a_3SM
iraxavalYu iru(V8)+axa_u_PRP+avalYu_a_3FM
iraxavaru iru(V8)+axa_u_PRP+avaru_a_3P
ixxavanu iru(V8)+xxa_ru_PRP+avanu_a_3SM 
ixxavalYu iru(V8)+xxa_ru_PRP+avalYu_a_3FM 
ixxavaru iru(V8)+xxa_ru_PRP+avaru_a_3P 
iralAraxavanu iru(V8)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
iralAraxavalYu iru(V8)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
iralAraxavaru iru(V8)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
iruwwiruvavanu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
iruwwiruvavalYu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM
iruwwiruvavaru iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
iruwwiruvuxu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
iruwwiruvuvu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
iruwwiruva iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
iruwwixxavanu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avanu_a_3SM 
iruwwixxavalYu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avalYu_a_3FM 
iruwwixxavaru iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avaru_a_3P 
iruwwixxu iru(V8)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
iruwwixxavu iru(V8)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
iraliruvavanu iru(V8)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
iraliruvavalYu iru(V8)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
iraliruvavaru iru(V8)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
iraliruvanu iru(V8)+alu_u_AUX+liruvanu_lu_3SM
iraliruvalYu iru(V8)+alu_u_AUX+liruvalYu_lu_3SF
iraliruvaru iru(V8)+alu_u_AUX+liruvaru_lu_3P
iraliruvaxu iru(V8)+alu_u_AUX+liruvaxu_lu_3SN
iraliruvavu iru(V8)+alu_u_AUX+liruvavu_lu_3PN
iraballavanu iru(V8)+a_u_AVY+ballavanu_#_3SM
iraballavalYu iru(V8)+a_u_#_AVY+ballavalYu_#_3SF
iraballavaru iru(V8)+a_u_AVY+ballavaru_#_3P
iraballaxu iru(V8)+a_u_AVY+ballaxu_#_3SN
iraballavu iru(V8)+a_u_AVY+ballavu_#_3PN
iruwwixxAneV iru(V8)+uwwa_u_AUX+wwixxAneV_wwa_3SM
iruwwixxAlYeV iru(V8)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
iruwwixxAreV iru(V8)+uwwa_u_AUX+wwixxAreV_wwa_3FM
iruwwixeV iru(V8)+uwwa_u_AUX+wwixeV_wwa_3SN
iruwwiveV iru(V8)+uwwa_u_AUX+wwiveV_wwa_3PN
iralpattanu iru(V8)+alpadu_u_PAST+pattanu_padu_3SM
iralpattalYu iru(V8)+alpadu_u_PAST+pattalYu_padu_3SF
iralpattaru iru(V8)+alpadu_u_PAST+pattaru_padu_3P
iralpattaru iru(V8)+alpadu_u_PAST+pattaru_padu_3SH
iralpattiwu iru(V8)+alpadu_u_PAST+pattiwu_padu_3SN
iralpattavu iru(V8)+alpadu_u_PAST+pattavu_padu_3PN
iralpaduwwaxeV iru(V8)+alpadu_u_FUT+duwwaxeV_du_3SN
iralpaduwwaveV iru(V8)+alpadu_u_FUT+duwwaveV_du_3PN
iralpaduvuxu iru(V8)+alpadu_u_FUT+vuxu_#_3SN
iralpaduvuvu iru(V8)+alpadu_u_FUT+vuvu_#_3PN
iralpadanu iru(V8)+alpadu_u_FUTNEG+danu_du_3SM
