uMdIyeV uNNu(V30)+Mda_NNu_FUTDUB+IyeV_a_2S
uMdIri uNNu(V30)+Mda_NNu_FUTDUB+Iri_a_2P
uMdIri uNNu(V30)+Mda_NNu_FUTDUB+Iri_a_2SH
uMdareV uNNu(V30)+Mda_NNu_NFV+areV_a_COND
uMdalli uNNu(V30)+Mda_NNu_NFV+alli_a_COND
uNNuvuxilla uNNu(V30)+vuxu_#_AVY+illa_u_NEG
uNNabahuxu uNNu(V30)+a_u_AVY+bahuxu_#_FUTPOTEN
uNNalebeku uNNu(V30)+alu_u_COMP+e_u_AVY+beku_#_FUT
uNNuvavanu uNNu(V30)+va_#_PRP+avanu_a_3SM
uNNuvavalYu uNNu(V30)+va_#_PRP+avalYu_a_3FM
uNNuvavaru uNNu(V30)+va_#_PRP+avaru_a_3P
uNNaxavNNu uNNu(V30)+axa_u_PRP+avNNu_a_3SM
uNNaxavalYu uNNu(V30)+axa_u_PRP+avalYu_a_3FM
uNNaxavaru uNNu(V30)+axa_u_PRP+avaru_a_3P
uMdavanu uNNu(V30)+Mda_NNu_PRP+avanu_a_3SM 
uMdavalYu uNNu(V30)+Mda_NNu_PRP+avalYu_a_3FM 
uMdavaru uNNu(V30)+Mda_NNu_PRP+avaru_a_3P 
uNNalAraxavanu uNNu(V30)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
uNNalAraxavalYu uNNu(V30)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
uNNalAraxavaru uNNu(V30)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
uNNuwwiruvavanu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
uNNuwwiruvavalYu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
uNNuwwiruvavaru uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
uNNuwwiruvuxu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
uNNuwwiruvuvu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
uNNuwwiruva uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
uNNuwwiruvavanu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
uNNuwwiruvavalYu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
uNNuwwiruvavaru uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
uNNuwwixxu uNNu(V30)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
uNNuwwixxavu uNNu(V30)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
uNNaliruvavanu uNNu(V30)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
uNNaliruvavalYu uNNu(V30)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
uNNaliruvavaru uNNu(V30)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
