idisabahuxu idisu(V29)+a_u_AVY+bahuxu_#_FUTPOTEN
idisalebeku idisu(V29)+alu_u_COMP+e_u_AVY+beku_#_FUT
idisuvavanu idisu(V29)+va_#_PRP+avanu_a_3SM
idisuvavalYu idisu(V29)+va_#_PRP+avalYu_a_3FM
idisuvavaru idisu(V29)+va_#_PRP+avaru_a_3P
idisaxavanu idisu(V29)+axa_u_PRP+avanu_a_3SM
idisaxavalYu idisu(V29)+axa_u_PRP+avalYu_a_3FM
idisaxavaru idisu(V29)+axa_u_PRP+avaru_a_3P
idisixavanu idisu(V29)+ixa_u_PRP+avanu_a_3SM 
idisixavalYu idisu(V29)+ixa_u_PRP+avalYu_a_3FM 
idisixavaru idisu(V29)+ixa_u_PRP+avaru_a_3P 
idisalAraxavanu idisu(V29)+alu_u_AVY+Araxa_u_PRP+avanu_a_3SM 
idisalAraxavalYu idisu(V29)+alu_u_AVY+Araxa_u_PRP+avalYu_a_3SF
idisalAraxavaru idisu(V29)+alu_u_AVY+Araxa_u_PRP+avaru_a_3P 
idisuwwiruvavanu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM
idisuwwiruvavalYu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3SF
idisuwwiruvavaru idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P
idisuwwiruvuxu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uxu_a_3SN
idisuwwiruvuvu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+uvu_a_3PN
idisuwwiruva idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_FUTPROG
idisuwwiruvavanu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avanu_a_3SM 
idisuwwiruvavalYu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avalYu_a_3FM 
idisuwwiruvavaru idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+va_#_PRP+avaru_a_3P 
idisuwwixxu idisu(V29)+uwwa_u_AUX+wwixxu_wwa_PRESPROG
idisuwwixxavu idisu(V29)+uwwa_u_AUX+wwiru_wwa_RP+xxa_ru_PRP+avu_a_3PN
idisaliruvavanu idisu(V29)+alu_u_AUX+liru_lu_RP+va_#_PRP+avanu_a_3SM
idisaliruvavalYu idisu(V29)+alu_u_AUX+liru_lu_RP+va_#_PRP+avalYu_a_3FM
idisaliruvavaru idisu(V29)+alu_u_AUX+liru_lu_RP+va_#_PRP+avaru_a_3P
idisaliruvanu idisu(V29)+alu_u_AUX+liruvanu_lu_3SM
idisaliruvalYu idisu(V29)+alu_u_AUX+liruvalYu_lu_3SF
idisaliruvaru idisu(V29)+alu_u_AUX+liruvaru_lu_3P
idisaliruvaxu idisu(V29)+alu_u_AUX+liruvaxu_lu_3SN
idisaliruvavu idisu(V29)+alu_u_AUX+liruvavu_lu_3PN
idisaballavanu idisu(V29)+a_u_AVY+ballavanu_#_3SM
idisaballavalYu idisu(V29)+a_u_#_AVY+ballavalYu_#_3SF
idisaballavaru idisu(V29)+a_u_AVY+ballavaru_#_3P
idisaballaxu idisu(V29)+a_u_AVY+ballaxu_#_3SN
idisaballavu idisu(V29)+a_u_AVY+ballavu_#_3PN
idisuwwixxAneV idisu(V29)+uwwa_u_AUX+wwixxAneV_wwa_3SM
idisuwwixxAlYeV idisu(V29)+uwwa_u_AUX+wwixxAlYeV_wwa_3FM
idisuwwixxAreV idisu(V29)+uwwa_u_AUX+wwixxAreV_wwa_3P
idisuwwixeV idisu(V29)+uwwa_u_AUX+wwixeV_wwa_3SN
idisuwwiveV idisu(V29)+uwwa_u_AUX+wwiveV_wwa_3PN
idisalpattanu idisu(V29)+alpadu_u_PAST+pattanu_padu_3SM
idisalpattalYu idisu(V29)+alpadu_u_PAST+pattalYu_padu_3SF
idisalpattiwu idisu(V29)+alpadu_u_PAST+pattiwu_padu_3P
idisalpattaru idisu(V29)+alpadu_u_PAST+pattaru_padu_3SH
idisalpattiwu idisu(V29)+alpadu_u_PAST+pattiwu_padu_3SN
idisalpattavu idisu(V29)+alpadu_u_PAST+pattavu_padu_3PN
idisalpaduwwaxeV idisu(V29)+alpadu_u_FUT+duwwaxeV_du_3SN
idisalpaduwwaveV idisu(V29)+alpadu_u_FUT+duwwaveV_du_3PN
idisalpaduvuxu idisu(V29)+alpadu_u_FUT+vuxu_#_3SN
idisalpaduvuvu idisu(V29)+alpadu_u_FUT+vuvu_#_3PN
idisalpadanu idisu(V29)+alpadu_u_FUTNEG+danu_du_3SM
idisalpadalYu idisu(V29)+alpadu_u_FUTNEG+dalYu_du_3SF
idisalpadaru idisu(V29)+alpadu_u_FUTNEG+daru_du_3P
idisalpadaru idisu(V29)+alpadu_u_FUTNEG+daru_du_3SH
idisalpadaxu idisu(V29)+alpadu_u_FUTNEG+daxu_du_3SN
idisalpadavu idisu(V29)+alpadu_u_FUTNEG+davu_du_3PN

idisalpattAnu idisu(V29)+alpadu_u_FUTDUB+pattAnu_padu_3SM
idisalpattAlYu idisu(V29)+alpadu_u_FUTDUB+pattAlYu_padu_3SF
idisalpattAru idisu(V29)+alpadu_u_FUTDUB+pattAru_padu_3P
idisalpattAru idisu(V29)+alpadu_u_FUTDUB+pattAru_padu_3SH
idisalpattIwu idisu(V29)+alpadu_u_FUTDUB+ttIwu_du_3SN
idisalpattAvu idisu(V29)+alpadu_u_FUTDUB+pattAvu_padu_3PN

idisalpadabeku idisu(V29)+alpada_u_#_AVY+beku_#_FUTIMP
idisalpadabAraxu idisu(V29)+alpada_u_#_AVY+bAraxu_#_NEGIMPR
idisalpadakUdaxu idisu(V29)+alpada_u_#_AVY+kUdaxu_#_NEGIMPR
idisalpadali idisu(V29)+alpadu_u_FUTOPT+dali_du_3SN
idisalpadali idisu(V29)+alpadu_u_FUTOPT+dali_du_3PN
idisalpadaballa idisu(V29)+alpada_u_AVY+balla_#_FUTCAP
idisalpadaballaxu idisu(V29)+alpada_u_AVY+ballaxu_#_FUTCAP
idisalpadaballavu idisu(V29)+alpada_u_AVY+ballavu_#_FUTCAP
