avalYannu avalYu(PN2)+lYannu_lYu_ACC 
avalYigAgiyo avalYu(PN2)+lYigAgi_lYu_BEN+yo_#_DUB
avalYigAgiyo avalYu(PN2)+lYigAgi_lYu_BEN+yo_#_PRES
avalYigAgiye avalYu(PN2)+lYigAgi_lYu_BEN+ye_#_IMPH
avalYigAgiye avalYu(PN2)+lYigAgi_lYu_BEN+ye_#_DECL
avalYigAgiye avalYu(PN2)+lYigAgi_lYu_BEN+ye_#_RIS
avalYigAgiyA avalYu(PN2)+lYigAgi_lYu_PUR+yA_#_INTR
avalYigAgiyU avalYu(PN2)+lYigAgi_lYu_PUR+yU_#_INCL
avalYigAgiyo avalYu(PN2)+lYigAgi_lYu_PUR+yo_#_DUB
avalYigAgiyo avalYu(PN2)+lYigAgi_lYu_PUR+yo_#_PRES
avalYigAgiye avalYu(PN2)+lYigAgi_lYu_PUR+ye_#_IMPH
avalYigAgiye avalYu(PN2)+lYigAgi_lYu_PUR+ye_#_DECL
avalYigAgiye avalYu(PN2)+lYigAgi_lYu_PUR+ye_#_RIS
avalYigosugavA avalYu(PN2)+lYigosuga_lYu_BEN+vA_#_INTR
avalYigosugavU avalYu(PN2)+lYigosuga_lYu_BEN+vU_#_INC
avalYigosugavo avalYu(PN2)+lYigosuga_lYu_BEN+vo_#_DUB
avalYigosugavo avalYu(PN2)+lYigosuga_lYu_BEN+vo_#_INDF
avalYigosugavo avalYu(PN2)+lYigosuga_lYu_BEN+vo_#_PRES
avalYigosugave avalYu(PN2)+lYigosuga_lYu_BEN+ve_#_IMPH
avalYigosugave avalYu(PN2)+lYigosuga_lYu_BEN+ve_#_DECL
avalYigosugave avalYu(PN2)+lYigosuga_lYu_BEN+ve_#_RIS
avalYigosugavA avalYu(PN2)+lYigosuga_lYu_PUR+vA_#_INTR
avalYigosugavU avalYu(PN2)+lYigosuga_lYu_PUR+vU_#_INCL
avalYigosugavo avalYu(PN2)+lYigosuga_lYu_PUR+vo_#_DUB
avalYigosugavo avalYu(PN2)+lYigosuga_lYu_PUR+vo_#_INDF
avalYigosugavo avalYu(PN2)+lYigosuga_lYu_PUR+vo_#_PRES
avalYigosugave avalYu(PN2)+lYigosuga_lYu_PUR+ve_#_IMPH
avalYigosugave avalYu(PN2)+lYigosuga_lYu_PUR+ve_#_DECL
avalYigosugave avalYu(PN2)+lYigosuga_lYu_PUR+ve_#_RIS
avalYigiMwalA avalYu(PN2)+lYigiMwa_lYu_COMP+lA_#_INTR
avalYigiMwalU avalYu(PN2)+lYigiMwa_lYu_COMP+lU_#_INCL
avalYigiMwalo avalYu(PN2)+lYigiMwa_lYu_COMP+lo_#_DUB
avalYigiMwalo avalYu(PN2)+lYigiMwa_lYu_COMP+lo_#_INDF
avalYigiMwalo avalYu(PN2)+lYigiMwa_lYu_COMP+lo_#_PRES
avalYigiMwale avalYu(PN2)+lYigiMwa_lYu_COMP+le_#_IMPH
avalYigiMwale avalYu(PN2)+lYigiMwa_lYu_COMP+le_#_DECL
avalYigiMwale avalYu(PN2)+lYigiMwa_lYu_COMP+le_#_RIS
avalYaMweVyA avalYu(PN2)+lYaMweV_lYu_SIM+yA_#_INTR
avalYaMweVyU avalYu(PN2)+lYaMweV_lYu_SIM+yU_#_INCL
avalYaMweVyo avalYu(PN2)+lYaMweV_lYu_SIM+yo_#_DUB
avalYaMweVyo avalYu(PN2)+lYaMweV_lYu_SIM+yo_#_INDF
avalYaMweVyo avalYu(PN2)+lYaMweV_lYu_SIM+yo_#_PRES
avalYaMweVye avalYu(PN2)+lYaMweV_lYu_SIM+ye_#_IMPH
avalYaMweVye avalYu(PN2)+lYaMweV_lYu_SIM+ye_#_DEC
avalYaMweVye avalYu(PN2)+lYaMweV_lYu_SIM+ye_#_RIS
avalYoVdaneVyA avalYu(PN2)+lYoVdaneV_lYu_SOC+yA_#_INTR
avalYoVdaneVyU avalYu(PN2)+lYoVdaneV_lYu_SOC+yU_#_INCL
avalYoVdaneVyo avalYu(PN2)+lYoVdaneV_lYu_SOC+yo_#_DUB
avalYoVdaneVyo avalYu(PN2)+lYoVdaneV_lYu_SOC+yo_#_INDF
avalYoVdaneVyo avalYu(PN2)+lYoVdaneV_lYu_SOC+yo_#_PRES
avalYoVdaneVye avalYu(PN2)+lYoVdaneV_lYu_SOC+ye_#_IMPH
avalYoVdaneVye avalYu(PN2)+lYoVdaneV_lYu_SOC+ye_#_DECL
avalYoVdaneVye avalYu(PN2)+lYoVdaneV_lYu_SOC+ye_#_RIS
avalYoVMxigeVyA avalYu(PN2)+lYoVMxigeV_lYu_SOC+yA_#_INTR
avalYoVMxigeVyU avalYu(PN2)+lYoVMxigeV_lYu_SOC+yU_#_INCL
avalYoVMxigeVyo avalYu(PN2)+lYoVMxigeV_lYu_SOC+yo_#_DUB
avalYoVMxigeVyo avalYu(PN2)+lYoVMxigeV_lYu_SOC+yo_#_INDF
avalYoVMxigeVyo avalYu(PN2)+lYoVMxigeV_lYu_SOC+yo_#_PRES
avalYoVMxigeVye avalYu(PN2)+lYoVMxigeV_lYu_SOC+ye_#_IMPH
avalYoVMxigeVye avalYu(PN2)+lYoVMxigeV_lYu_SOC+ye_#_DECL
avalYoVMxigeVye avalYu(PN2)+lYoVMxigeV_lYu_SOC+ye_#_RIS

