avarannu avaru(PN3)+rannu_ru_ACC 
avarigAgiye avaru(PN3)+rigAgi_ru_PUR+ye_#_DECL
avarigAgiye avaru(PN3)+rigAgi_ru_PUR+ye_#_RIS
avarigosugavA avaru(PN3)+rigosuga_ru_BEN+vA_#_INTR
avarigosugavU avaru(PN3)+rigosuga_ru_BEN+vU_#_INC
avarigosugavo avaru(PN3)+rigosuga_ru_BEN+vo_#_DUB
avarigosugavo avaru(PN3)+rigosuga_ru_BEN+vo_#_INDF
avarigosugavo avaru(PN3)+rigosuga_ru_BEN+vo_#_PRES
avarigosugave avaru(PN3)+rigosuga_ru_BEN+ve_#_IMPH
avarigosugave avaru(PN3)+rigosuga_ru_BEN+ve_#_DECL
avarigosugave avaru(PN3)+rigosuga_ru_BEN+ve_#_RIS
avarigosugavA avaru(PN3)+rigosuga_ru_PUR+vA_#_INTR
avarigosugavU avaru(PN3)+rigosuga_ru_PUR+vU_#_INCL
avarigosugavo avaru(PN3)+rigosuga_ru_PUR+vo_#_DUB
avarigosugavo avaru(PN3)+rigosuga_ru_PUR+vo_#_INDF
avarigosugavo avaru(PN3)+rigosuga_ru_PUR+vo_#_PRES
avarigosugave avaru(PN3)+rigosuga_ru_PUR+ve_#_IMPH
avarigosugave avaru(PN3)+rigosuga_ru_PUR+ve_#_DECL
avarigosugave avaru(PN3)+rigosuga_ru_PUR+ve_#_RIS
avarigiMwalA avaru(PN3)+rigiMwa_ru_COMP+lA_#_INTR
avarigiMwalU avaru(PN3)+rigiMwa_ru_COMP+lU_#_INCL
avarigiMwalo avaru(PN3)+rigiMwa_ru_COMP+lo_#_DUB
avarigiMwalo avaru(PN3)+rigiMwa_ru_COMP+lo_#_INDF
avarigiMwalo avaru(PN3)+rigiMwa_ru_COMP+lo_#_PRES
avarigiMwale avaru(PN3)+rigiMwa_ru_COMP+le_#_IMPH
avarigiMwale avaru(PN3)+rigiMwa_ru_COMP+le_#_DECL
avarigiMwale avaru(PN3)+rigiMwa_ru_COMP+le_#_RIS
avaraMweVyA avaru(PN3)+raMweV_ru_SIM+yA_#_INTR
avaraMweVyU avaru(PN3)+raMweV_ru_SIM+yU_#_INCL
avaraMweVyo avaru(PN3)+raMweV_ru_SIM+yo_#_DUB
avaraMweVyo avaru(PN3)+raMweV_ru_SIM+yo_#_INDF
avaraMweVyo avaru(PN3)+raMweV_ru_SIM+yo_#_PRES
avaraMweVye avaru(PN3)+raMweV_ru_SIM+ye_#_IMPH
avaraMweVye avaru(PN3)+raMweV_ru_SIM+ye_#_DEC
avaraMweVye avaru(PN3)+raMweV_ru_SIM+ye_#_RIS
avaroVdaneVyA avaru(PN3)+roVdaneV_ru_SOC+yA_#_INTR
avaroVdaneVyU avaru(PN3)+roVdaneV_ru_SOC+yU_#_INCL
avaroVdaneVyo avaru(PN3)+roVdaneV_ru_SOC+yo_#_DUB
avaroVdaneVyo avaru(PN3)+roVdaneV_ru_SOC+yo_#_INDF
avaroVdaneVyo avaru(PN3)+roVdaneV_ru_SOC+yo_#_PRES
avaroVdaneVye avaru(PN3)+roVdaneV_ru_SOC+ye_#_IMPH
avaroVdaneVye avaru(PN3)+roVdaneV_ru_SOC+ye_#_DECL
avaroVdaneVye avaru(PN3)+roVdaneV_ru_SOC+ye_#_RIS
avaroVMxigeVyA avaru(PN3)+roVMxigeV_ru_SOC+yA_#_INTR
avaroVMxigeVyU avaru(PN3)+roVMxigeV_ru_SOC+yU_#_INCL
avaroVMxigeVyo avaru(PN3)+roVMxigeV_ru_SOC+yo_#_DUB
avaroVMxigeVyo avaru(PN3)+roVMxigeV_ru_SOC+yo_#_INDF
avaroVMxigeVyo avaru(PN3)+roVMxigeV_ru_SOC+yo_#_PRES
avaroVMxigeVye avaru(PN3)+roVMxigeV_ru_SOC+ye_#_IMPH
avaroVMxigeVye avaru(PN3)+roVMxigeV_ru_SOC+ye_#_DECL
avaroVMxigeVye avaru(PN3)+roVMxigeV_ru_SOC+ye_#_RIS

