axannu axu(PN4)+annu_u_ACC 
axakkosugavA axu(PN4)+akkosuga_u_BEN+vA_#_INTR
axakkosugavU axu(PN4)+akkosuga_u_BEN+vU_#_INC
axakkosugavo axu(PN4)+akkosuga_u_BEN+vo_#_DUB
axakkosugavo axu(PN4)+akkosuga_u_BEN+vo_#_INDF
axakkosugavo axu(PN4)+akkosuga_u_BEN+vo_#_PRES
axakkosugave axu(PN4)+akkosuga_u_BEN+ve_#_IMPH
axakkosugave axu(PN4)+akkosuga_u_BEN+ve_#_DECL
axakkosugave axu(PN4)+akkosuga_u_BEN+ve_#_RIS
axakkosugavA axu(PN4)+akkosuga_u_PUR+vA_#_INTR
axakkosugavU axu(PN4)+akkosuga_u_PUR+vU_#_INCL
axakkosugavo axu(PN4)+akkosuga_u_PUR+vo_#_DUB
axakkosugavo axu(PN4)+akkosuga_u_PUR+vo_#_INDF
axakkosugavo axu(PN4)+akkosuga_u_PUR+vo_#_PRES
axakkosugave axu(PN4)+akkosuga_u_PUR+ve_#_IMPH
axakkosugave axu(PN4)+akkosuga_u_PUR+ve_#_DECL
axakkosugave axu(PN4)+akkosuga_u_PUR+ve_#_RIS
axakkiMwalA axu(PN4)+akkiMwa_u_COMP+lA_#_INTR
axakkiMwalU axu(PN4)+akkiMwa_u_COMP+lU_#_INCL
axakkiMwalo axu(PN4)+akkiMwa_u_COMP+lo_#_DUB
axakkiMwalo axu(PN4)+akkiMwa_u_COMP+lo_#_INDF
axakkiMwalo axu(PN4)+akkiMwa_u_COMP+lo_#_PRES
axakkiMwale axu(PN4)+akkiMwa_u_COMP+le_#_IMPH
axakkiMwale axu(PN4)+akkiMwa_u_COMP+le_#_DECL
axakkiMwale axu(PN4)+akkiMwa_u_COMP+le_#_RIS
axaraMweVyA axu(PN4)+araMweV_u_SIM+yA_#_INTR
axaraMweVyU axu(PN4)+araMweV_u_SIM+yU_#_INCL
axaraMweVyo axu(PN4)+araMweV_u_SIM+yo_#_DUB
axaraMweVyo axu(PN4)+araMweV_u_SIM+yo_#_INDF
axaraMweVyo axu(PN4)+araMweV_u_SIM+yo_#_PRES
axaraMweVye axu(PN4)+araMweV_u_SIM+ye_#_IMPH
axaraMweVye axu(PN4)+araMweV_u_SIM+ye_#_DEC
axaraMweVye axu(PN4)+araMweV_u_SIM+ye_#_RIS
axaroVdaneVyA axu(PN4)+aroVdaneV_u_SOC+yA_#_INTR
axaroVdaneVyU axu(PN4)+aroVdaneV_u_SOC+yU_#_INCL
axaroVdaneVyo axu(PN4)+aroVdaneV_u_SOC+yo_#_DUB
axaroVdaneVyo axu(PN4)+aroVdaneV_u_SOC+yo_#_INDF
axaroVdaneVyo axu(PN4)+aroVdaneV_u_SOC+yo_#_PRES
axaroVdaneVye axu(PN4)+aroVdaneV_u_SOC+ye_#_IMPH
axaroVdaneVye axu(PN4)+aroVdaneV_u_SOC+ye_#_DECL
axaroVdaneVye axu(PN4)+aroVdaneV_u_SOC+ye_#_RIS
axaroVMxigeVyA axu(PN4)+aroVMxigeV_u_SOC+yA_#_INTR
axaroVMxigeVyU axu(PN4)+aroVMxigeV_u_SOC+yU_#_INCL
axaroVMxigeVyo axu(PN4)+aroVMxigeV_u_SOC+yo_#_DUB
axaroVMxigeVyo axu(PN4)+aroVMxigeV_u_SOC+yo_#_INDF
axaroVMxigeVyo axu(PN4)+aroVMxigeV_u_SOC+yo_#_PRES
axaroVMxigeVye axu(PN4)+aroVMxigeV_u_SOC+ye_#_IMPH
axaroVMxigeVye axu(PN4)+aroVMxigeV_u_SOC+ye_#_DECL
axaroVMxigeVye axu(PN4)+aroVMxigeV_u_SOC+ye_#_RIS

