nimmannu nIvu(PN12)+nimmannu_nIvu_ACC 
nimagAgiyo nIvu(PN12)+nimagAgi_nIvu_BEN+yo_#_DUB

nimagAgiyo nIvu(PN12)+nimagAgi_nIvu_BEN+yo_#_PRES

nimagAgiye nIvu(PN12)+nimagAgi_nIvu_BEN+ye_#_IMPH

nimagAgiye nIvu(PN12)+nimagAgi_nIvu_BEN+ye_#_DEC

nimagAgiye nIvu(PN12)+nimagAgi_nIvu_BEN+ye_#_RIS

nimagAgiyA nIvu(PN12)+nimagAgi_nIvu_PUR+yA_#_INTR

nimagAgiyU nIvu(PN12)+nimagAgi_nIvu_PUR+yU_#_INC

nimagAgiyo nIvu(PN12)+nimagAgi_nIvu_PUR+yo_#_DUB

nimagAgiyo nIvu(PN12)+nimagAgi_nIvu_PUR+yo_#_PRES

nimagAgiye nIvu(PN12)+nimagAgi_nIvu_PUR+ye_#_IMPH

nimagAgiye nIvu(PN12)+nimagAgi_nIvu_PUR+ye_#_DEC

nimagAgiye nIvu(PN12)+nimagAgi_nIvu_PUR+ye_#_RIS

nimagosugavA nIvu(PN12)+nimagosuga_nIvu_BEN+vA_#_INTR

nimagosugavU nIvu(PN12)+nimagosuga_nIvu_BEN+vU_#_INC

nimagosugavo nIvu(PN12)+nimagosuga_nIvu_BEN+vo_#_DUB

nimagosugavo nIvu(PN12)+nimagosuga_nIvu_BEN+vo_#_INDF

nimagosugavo nIvu(PN12)+nimagosuga_nIvu_BEN+vo_#_PRES

nimagosugave nIvu(PN12)+nimagosuga_nIvu_BEN+ve_#_IMPH

nimagosugave nIvu(PN12)+nimagosuga_nIvu_BEN+ve_#_DEC

nimagosugave nIvu(PN12)+nimagosuga_nIvu_BEN+ve_#_RIS

nimagosugavA nIvu(PN12)+nimagosuga_nIvu_PUR+vA_#_INTR

nimagosugavU nIvu(PN12)+nimagosuga_nIvu_PUR+vU_#_INC

nimagosugavo nIvu(PN12)+nimagosuga_nIvu_PUR+vo_#_DUB

nimagosugavo nIvu(PN12)+nimagosuga_nIvu_PUR+vo_#_INDF

nimagosugavo nIvu(PN12)+nimagosuga_nIvu_PUR+vo_#_PRES

nimagosugave nIvu(PN12)+nimagosuga_nIvu_PUR+ve_#_IMPH

nimagosugave nIvu(PN12)+nimagosuga_nIvu_PUR+ve_#_DEC

